id,nome,idade,salario,data_cadastro,ativo
1,Cliente_1,56,4390.650729441467,2020-01-01,True
2,Cliente_2,69,7746.204699784648,2020-01-02,True
3,Cliente_3,46,4536.905040809732,2020-01-03,False
4,Cliente_4,32,8462.47798635863,2020-01-04,True
5,Cliente_5,60,6121.733222491729,2020-01-05,True
6,Cliente_6,25,1571.606466310012,2020-01-06,False
7,Cliente_7,78,1331.3968087239225,2020-01-07,True
8,Cliente_8,38,2204.669069205698,2020-01-08,False
9,Cliente_9,56,1123.0476834429755,2020-01-09,False
10,Cliente_10,75,1678.2315431721609,2020-01-10,True
11,Cliente_11,36,7225.429574520208,2020-01-11,False
12,Cliente_12,40,5809.116475265168,2020-01-12,False
13,Cliente_13,28,7749.196745229747,2020-01-13,True
14,Cliente_14,28,9218.491770318786,2020-01-14,False
15,Cliente_15,41,6266.345790929247,2020-01-15,False
16,Cliente_16,70,7535.087596646633,2020-01-16,True
17,Cliente_17,53,7813.730818382103,2020-01-17,True
18,Cliente_18,57,4400.654943482077,2020-01-18,True
19,Cliente_19,41,3169.7634909666867,2020-01-19,False
20,Cliente_20,20,2845.4079565587244,2020-01-20,True
21,Cliente_21,39,3262.981955606186,2020-01-21,False
22,Cliente_22,70,3472.586173233179,2020-01-22,False
23,Cliente_23,19,2865.0488410725084,2020-01-23,False
24,Cliente_24,41,8903.986007312731,2020-01-24,False
25,Cliente_25,61,7812.992189550058,2020-01-25,False
26,Cliente_26,47,1422.0682101209793,2020-01-26,False
27,Cliente_27,55,3418.052338227766,2020-01-27,False
28,Cliente_28,19,1199.6626782727146,2020-01-28,True
29,Cliente_29,77,5483.486679813036,2020-01-29,True
30,Cliente_30,38,5285.896271101127,2020-01-30,False
31,Cliente_31,50,8482.343410562511,2020-01-31,False
32,Cliente_32,29,3769.9951579394447,2020-02-01,True
33,Cliente_33,75,8347.47161691756,2020-02-02,False
34,Cliente_34,39,9711.763888958409,2020-02-03,True
35,Cliente_35,78,1795.6740102908193,2020-02-04,True
36,Cliente_36,61,8126.360555226696,2020-02-05,True
37,Cliente_37,42,6309.603074238725,2020-02-06,False
38,Cliente_38,66,5320.413703166276,2020-02-07,False
39,Cliente_39,44,4784.822007985676,2020-02-08,True
40,Cliente_40,76,8062.014375498786,2020-02-09,True
41,Cliente_41,59,6754.252212768181,2020-02-10,True
42,Cliente_42,45,8245.402007674256,2020-02-11,True
43,Cliente_43,77,9128.359528089635,2020-02-12,True
44,Cliente_44,33,6555.373408875628,2020-02-13,False
45,Cliente_45,32,9824.1645258314,2020-02-14,True
46,Cliente_46,79,6472.790645876967,2020-02-15,False
47,Cliente_47,79,6729.798894600544,2020-02-16,True
48,Cliente_48,64,5993.340476880031,2020-02-17,False
49,Cliente_49,79,1819.0188194619725,2020-02-18,False
50,Cliente_50,68,7537.573293852054,2020-02-19,False
51,Cliente_51,61,5927.016762092004,2020-02-20,False
52,Cliente_52,72,5058.19402674494,2020-02-21,False
53,Cliente_53,69,9194.241505629458,2020-02-22,False
54,Cliente_54,74,3681.6350638775534,2020-02-23,True
55,Cliente_55,20,5712.420484135101,2020-02-24,False
56,Cliente_56,54,7278.77684344117,2020-02-25,True
57,Cliente_57,68,8168.245981064895,2020-02-26,False
58,Cliente_58,24,5134.121271515552,2020-02-27,False
59,Cliente_59,38,8578.822735168387,2020-02-28,True
60,Cliente_60,26,7920.259671838578,2020-02-29,False
61,Cliente_61,56,1596.1238006667927,2020-03-01,True
62,Cliente_62,35,1412.7513976416965,2020-03-02,True
63,Cliente_63,21,6587.251159798821,2020-03-03,True
64,Cliente_64,42,4126.720674028727,2020-03-04,True
65,Cliente_65,77,2882.1771197066278,2020-03-05,False
66,Cliente_66,31,6216.849410245645,2020-03-06,False
67,Cliente_67,67,4074.068894108905,2020-03-07,True
68,Cliente_68,75,5835.37075042663,2020-03-08,False
69,Cliente_69,26,5141.0724308521485,2020-03-09,False
70,Cliente_70,43,6262.894953542384,2020-03-10,True
71,Cliente_71,70,4602.704400192532,2020-03-11,False
72,Cliente_72,19,7279.008163272386,2020-03-12,True
73,Cliente_73,37,2620.605451143687,2020-03-13,True
74,Cliente_74,45,7268.513196043711,2020-03-14,False
75,Cliente_75,64,4704.950929217754,2020-03-15,False
76,Cliente_76,77,8868.858443689754,2020-03-16,False
77,Cliente_77,24,5637.124493777897,2020-03-17,True
78,Cliente_78,61,9757.993143430938,2020-03-18,True
79,Cliente_79,78,6417.418559868642,2020-03-19,False
80,Cliente_80,25,3014.6415931568854,2020-03-20,False
81,Cliente_81,64,8396.115731600043,2020-03-21,False
82,Cliente_82,52,4105.74365040148,2020-03-22,False
83,Cliente_83,31,4128.572930344151,2020-03-23,True
84,Cliente_84,34,1286.242133366486,2020-03-24,False
85,Cliente_85,53,5938.4377828666775,2020-03-25,True
86,Cliente_86,67,5809.811533592707,2020-03-26,True
87,Cliente_87,57,4203.923358447875,2020-03-27,False
88,Cliente_88,21,9047.955366063332,2020-03-28,False
89,Cliente_89,19,2158.735584696795,2020-03-29,False
90,Cliente_90,79,3970.895619791399,2020-03-30,True
91,Cliente_91,23,3894.244882120261,2020-03-31,False
92,Cliente_92,71,1830.6152760587147,2020-04-01,False
93,Cliente_93,59,5330.308546506639,2020-04-02,True
94,Cliente_94,21,7190.062453864747,2020-04-03,False
95,Cliente_95,71,5604.913121925351,2020-04-04,True
96,Cliente_96,46,2412.7991444457434,2020-04-05,False
97,Cliente_97,35,4395.573687178654,2020-04-06,True
98,Cliente_98,43,1023.355219452819,2020-04-07,False
99,Cliente_99,61,8814.709963320282,2020-04-08,False
100,Cliente_100,51,1760.653069126137,2020-04-09,True
101,Cliente_101,27,6375.502740298875,2020-04-10,True
102,Cliente_102,79,9876.312962801336,2020-04-11,False
103,Cliente_103,53,5829.315813885993,2020-04-12,True
104,Cliente_104,31,9316.375831966898,2020-04-13,True
105,Cliente_105,48,3125.048798056639,2020-04-14,True
106,Cliente_106,65,7839.598680438271,2020-04-15,True
107,Cliente_107,32,5781.391785761806,2020-04-16,False
108,Cliente_108,25,7484.644552523184,2020-04-17,False
109,Cliente_109,31,1561.072262601173,2020-04-18,True
110,Cliente_110,40,2329.6518271560403,2020-04-19,True
111,Cliente_111,77,2198.0523572873044,2020-04-20,True
112,Cliente_112,74,7184.48954862998,2020-04-21,True
113,Cliente_113,79,8599.966053702658,2020-04-22,False
114,Cliente_114,57,7746.546088077286,2020-04-23,False
115,Cliente_115,38,1274.2493746023474,2020-04-24,True
116,Cliente_116,33,8804.93482967251,2020-04-25,True
117,Cliente_117,62,4187.320037138129,2020-04-26,True
118,Cliente_118,35,4574.474492536742,2020-04-27,False
119,Cliente_119,64,1943.822498792328,2020-04-28,True
120,Cliente_120,70,7636.646854844372,2020-04-29,False
121,Cliente_121,41,2640.5549062836226,2020-04-30,True
122,Cliente_122,43,6075.685828169528,2020-05-01,False
123,Cliente_123,42,8566.38987290138,2020-05-02,True
124,Cliente_124,77,1802.8389584085055,2020-05-03,False
125,Cliente_125,77,5818.020076139712,2020-05-04,True
126,Cliente_126,77,3098.947703948211,2020-05-05,True
127,Cliente_127,62,4086.341778504342,2020-05-06,True
128,Cliente_128,58,5265.729472875006,2020-05-07,False
129,Cliente_129,46,4195.938729513742,2020-05-08,True
130,Cliente_130,32,6839.405562624184,2020-05-09,False
131,Cliente_131,62,5316.238915788252,2020-05-10,False
132,Cliente_132,18,6257.795362427523,2020-05-11,True
133,Cliente_133,42,7631.402278554216,2020-05-12,True
134,Cliente_134,24,6019.6803935539365,2020-05-13,True
135,Cliente_135,26,6278.818911946832,2020-05-14,False
136,Cliente_136,41,6080.126882703771,2020-05-15,True
137,Cliente_137,18,4408.953633561604,2020-05-16,False
138,Cliente_138,61,4037.021504847263,2020-05-17,False
139,Cliente_139,25,9096.82657430511,2020-05-18,True
140,Cliente_140,41,6467.997000642155,2020-05-19,True
141,Cliente_141,28,3199.1783991818907,2020-05-20,True
142,Cliente_142,68,5484.229280640462,2020-05-21,True
143,Cliente_143,34,3973.136331528226,2020-05-22,True
144,Cliente_144,25,9403.226413838873,2020-05-23,True
145,Cliente_145,52,1067.8092682066726,2020-05-24,False
146,Cliente_146,52,3027.995179412754,2020-05-25,False
147,Cliente_147,50,4288.211377066518,2020-05-26,False
148,Cliente_148,76,5390.2882072786415,2020-05-27,True
149,Cliente_149,22,8657.357660525317,2020-05-28,False
150,Cliente_150,59,1790.9886208612947,2020-05-29,False
151,Cliente_151,56,8252.78398067029,2020-05-30,False
152,Cliente_152,75,1500.881404212778,2020-05-31,False
153,Cliente_153,58,8580.826317683634,2020-06-01,False
154,Cliente_154,45,1464.7193008706156,2020-06-02,True
155,Cliente_155,24,1164.1823328552491,2020-06-03,True
156,Cliente_156,26,7272.653161297794,2020-06-04,False
157,Cliente_157,25,9975.29981291555,2020-06-05,False
158,Cliente_158,29,9069.492366766186,2020-06-06,False
159,Cliente_159,51,6183.98576025094,2020-06-07,True
160,Cliente_160,50,9256.560517769783,2020-06-08,True
161,Cliente_161,65,1047.7000575784489,2020-06-09,False
162,Cliente_162,72,9775.604466506282,2020-06-10,True
163,Cliente_163,40,5416.73901332906,2020-06-11,True
164,Cliente_164,79,7506.064869595981,2020-06-12,False
165,Cliente_165,41,8387.753258380173,2020-06-13,True
166,Cliente_166,54,7466.1154375289825,2020-06-14,True
167,Cliente_167,52,5815.330588404195,2020-06-15,False
168,Cliente_168,61,5289.575357137708,2020-06-16,True
169,Cliente_169,57,8547.243028323623,2020-06-17,True
170,Cliente_170,39,2845.698041345132,2020-06-18,False
171,Cliente_171,44,9711.946598538108,2020-06-19,True
172,Cliente_172,52,7398.572309530735,2020-06-20,True
173,Cliente_173,18,2795.562346044878,2020-06-21,False
